Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setEncryptedText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,12-02-2024 10:34:57,12-02-2024 10:34:58,1.224s,PASSED
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,12-02-2024 10:34:58,12-02-2024 10:34:59,1.256s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/span_testname""), username)",Chrome 121.0.0.0,,,12-02-2024 10:34:59,12-02-2024 10:35:05,5.117s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 10:35:05,12-02-2024 10:35:05,0.224s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 10:35:07,12-02-2024 10:35:07,0.000s,PASSED
,,,,,,,
Test Cases/Login,Chrome 121.0.0.0,,,12-02-2024 10:35:07,12-02-2024 10:35:23,16.329s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 10:35:07,12-02-2024 10:35:08,0.724s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,12-02-2024 10:35:08,12-02-2024 10:35:09,1.658s,PASSED
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/svg_CHECKOUT  (0.00)_menuUser""))",Chrome 121.0.0.0,,,12-02-2024 10:35:09,12-02-2024 10:35:17,7.299s,PASSED
"setText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/input_OR_username""), username)",Chrome 121.0.0.0,,,12-02-2024 10:35:17,12-02-2024 10:35:17,0.948s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/input_Username_password""), password)",Chrome 121.0.0.0,,,12-02-2024 10:35:17,12-02-2024 10:35:19,1.198s,PASSED
"click(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/button_SIGN IN""))",Chrome 121.0.0.0,,,12-02-2024 10:35:19,12-02-2024 10:35:19,0.472s,PASSED
"verifyElementText(findTestObject(""Object Repository/Record/Login/Page_Advantage Shopping/span_testname""), username)",Chrome 121.0.0.0,,,12-02-2024 10:35:19,12-02-2024 10:35:21,1.736s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 10:35:21,12-02-2024 10:35:21,0.211s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 10:35:23,12-02-2024 10:35:23,0.001s,PASSED
